Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Lical Image,Radius,Rating,Review Count,Invnetory Link
D-24787021,Freedom Dodge Chrysler Jeep Ram,N/A,815 E. Camp Wisdom Road,Duncanville,TX,"Duncanville, TX",N/A,75116,Eddie Moore salesmen and Anthony the FNI guy are both terrific. Just great guys very honest friendly great experience.,https://static.cargurus.com/images/site/2020/07/07/14/45/freedom_dodge_chrysler_jeep_ram-pic-678221938738191071-200x200.jpeg,public/uploads/dealer/Freedom-Dodge-Chrysler-Jeep-Ram_Duncanville_TX.jpg,3 mi,4.5,4,https://www.cargurus.com/Cars/m-Freedom-Dodge-Chrysler-Jeep-Ram-sp289601,1,1
D-24787022,Joe Autos,N/A,2532 N Interstate 35 E,Lancaster,TX,"Lancaster, TX",N/A,75134,Everything was clear to talking with you guys thank for all the information,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Joe-Autos_Lancaster_TX.jpg,5 mi,5.0,1,https://www.cargurus.com/Cars/m-Joe-Autos-sp413805,1,1
D-24787023,Megatronics Auto Sales,N/A,6373 Great Trinity Forest Way,Dallas,TX,"Dallas, TX",N/A,75217,Luis was very easy to work with,https://static.cargurus.com/images/site/2022/10/05/13/35/megatronics_auto_sales-pic-9988529489198021546-200x200.jpeg,public/uploads/dealer/Megatronics-Auto-Sales_Dallas_TX.jpg,5 mi,4.3,3,https://www.cargurus.com/Cars/m-Megatronics-Auto-Sales-sp448594,1,1
D-24787024,Clay Cooley Hyundai of Dallas,N/A,39444 LBJ Fwy S,Dallas,TX,"Dallas, TX",N/A,75232,"Be careful when dealing with this dealership. The price I was quoted and was 
written down while we were haggling over the price was revoked. The manager 
stated the sales person made a mistake and that they couldnât sell the car for that 
price. May have been an honest mistake but be warned as itâs either inexperienced 
sales people or bad management. I lean towards the later given that another 
customer came in and was told the car they came to look at was sold. The sales 
reps response was, âI know we called you 30m ago, but these things happenâ.",https://static.cargurus.com/images/site/2022/07/12/09/58/clay_cooley_hyundai_of_dallas-pic-1229696001763261020-200x200.jpeg,public/uploads/dealer/Clay-Cooley-Hyundai-of-Dallas_Dallas_TX.jpg,5 mi,3.2,4,https://www.cargurus.com/Cars/m-Clay-Cooley-Hyundai-of-Dallas-sp281332,1,1
D-24787025,Drive Casa,N/A,3312 Marvin D Love Fwy,Dallas,TX,"Dallas, TX",N/A,75224,No reviews available,No image,,5 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Drive-Casa-sp379053,1,1
D-24787026,South Dallas Mitsubishi,N/A,3520 Marvin D Love Fwy,Dallas,TX,"Dallas, TX",N/A,75224,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/South-Dallas-Mitsubishi_Dallas_TX.jpg,5 mi,N/A,N/A,https://www.cargurus.com/Cars/m-South-Dallas-Mitsubishi-sp457101,1,1
D-24787027,DriveTime of Dallas,N/A,39510 Lyndon B Johnson Freeway,Dallas,TX,"Dallas, TX",N/A,75232,No reviews available,No image,,5 mi,N/A,N/A,https://www.cargurus.com/Cars/m-DriveTime-of-Dallas-sp336065,1,1
D-24787028,Chuck Fairbanks Chevrolet,N/A,629 I-35 South,Desoto,TX,"Desoto, TX",N/A,75115,No reviews available,No image,,6 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Chuck-Fairbanks-Chevrolet-sp281539,1,1
D-24787029,Easy Finance Auto Sales,N/A,7051 C F Hawn Fwy,Dallas,TX,"Dallas, TX",N/A,75217,Wonderful to deal with,https://static.cargurus.com/images/site/2023/04/03/11/28/easy_finance_auto_sales-pic-12477615523285071670-200x200.jpeg,public/uploads/dealer/Easy-Finance-Auto-Sales_Dallas_TX.jpg,6 mi,3.7,12,https://www.cargurus.com/Cars/m-Easy-Finance-Auto-Sales-sp415940,1,1
D-24787030,Certified Cars of DFW,N/A,6625 C F Hawn Fwy,Dallas,TX,"Dallas, TX",N/A,75217,Professional and sent me specs on others comparable Dodge trucks.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Certified-Cars-of-DFW_Dallas_TX.jpg,6 mi,5.0,3,https://www.cargurus.com/Cars/m-Certified-Cars-of-DFW-sp451646,1,1
D-24787031,Mars Dealership,N/A,"7512 C.F. Hawn Fwy,  ste 1",Dallas,TX,"Dallas, TX",N/A,75217,Friendly and great customer service,https://static.cargurus.com/images/site/2022/08/25/17/05/mars_dealership-pic-5121334798212394827-200x200.jpeg,public/uploads/dealer/Mars-Dealership_Dallas_TX.jpg,6 mi,4.3,6,https://www.cargurus.com/Cars/m-Mars-Dealership-sp448070,1,1
D-24787032,Mac Haik Ford Desoto,N/A,515 I-35 Se,Desoto,TX,"Desoto, TX",N/A,75115,Great Communication,https://static.cargurus.com/images/site/2019/05/23/11/51/mac_haik_ford_desoto-pic-2486045329359887571-200x200.jpeg,public/uploads/dealer/Mac-Haik-Ford-Desoto_Desoto_TX.jpg,6 mi,3.4,31,https://www.cargurus.com/Cars/m-Mac-Haik-Ford-Desoto-sp288414,1,1
D-24787033,Legacy Toyota of Dallas,N/A,39660 Lyndon B Johnson Fwy,Dallas,TX,"Dallas, TX",N/A,75237,"they call, we discussed vehicle.  i have no issues with dealership",https://static.cargurus.com/images/site/2024/06/03/14/38/legacy_toyota_of_dallas-pic-9145783380924357097-200x200.jpeg,public/uploads/dealer/Legacy-Toyota-of-Dallas_Dallas_TX.jpg,6 mi,5.0,2,https://www.cargurus.com/Cars/m-Legacy-Toyota-of-Dallas-sp343858,1,1
D-24787034,Freeman Honda,N/A,39680 Interstate 20,Dallas,TX,"Dallas, TX",N/A,75237,Very fast response time.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Freeman-Honda_Dallas_TX.jpg,6 mi,5.0,5,https://www.cargurus.com/Cars/m-Freeman-Honda-sp301876,1,1
D-24787035,Southwest Kia Dallas,N/A,39650 Lyndon B Johnson Fwy,Dallas,TX,"Dallas, TX",N/A,75237,Excellent customer service.  Was very responsive and quick to reply.,https://static.cargurus.com/images/site/2024/07/15/11/32/southwest_kia_dallas-pic-3080174481908042480-200x200.jpeg,public/uploads/dealer/Southwest-Kia-Dallas_Dallas_TX.jpg,6 mi,3.7,13,https://www.cargurus.com/Cars/m-Southwest-Kia-Dallas-sp284572,1,1
D-24787036,Eagle Financial Auto Sales,N/A,7024 Lake June Rd,Dallas,TX,"Dallas, TX",N/A,75217,It was a good experience with the dealership,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/Eagle-Financial-Auto-Sales_Dallas_TX.jpg,6 mi,4.7,7,https://www.cargurus.com/Cars/m-Eagle-Financial-Auto-Sales-sp434001,1,1
D-24787037,AA BRO AUTO SALES INC,N/A,"935 S Buckner Blvd,  Suite B",Dallas,TX,"Dallas, TX",N/A,75217,Nice choice of vehicles and good people to work with,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/AA-BRO-AUTO-SALES-INC_Dallas_TX.jpg,6 mi,5.0,2,https://www.cargurus.com/Cars/m-AA-BRO-AUTO-SALES-INC-sp451942,1,1
D-24787038,Gigante Auto Group LLC,N/A,925 S Buckner Blvd,Dallas,TX,"Dallas, TX",N/A,75217,No reviews available,No image,,6 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Gigante-Auto-Group-LLC-sp353297,1,1
D-24787039,Freedom Chevrolet Buick GMC,N/A,8008 Marvin D Love Fwy,Dallas,TX,"Dallas, TX",N/A,75237,Dealer responded with other more expensive offers instead of vehicle I inquired about.,https://static.cargurus.com/images/site/2024/07/18/12/49/freedom_chevrolet_buick_gmc-pic-434623099671536302-200x200.jpeg,public/uploads/dealer/Freedom-Chevrolet-Buick-GMC_Dallas_TX.jpg,7 mi,2.8,8,https://www.cargurus.com/Cars/m-Freedom-Chevrolet-Buick-GMC-sp284573,1,1
D-24787040,JC Auto Sales,N/A,10312 C F Hawn Freeway,Dallas,TX,"Dallas, TX",N/A,75217,No reviews available,No image,,7 mi,5.0,1,https://www.cargurus.com/Cars/m-JC-Auto-Sales-sp413121,1,1
D-24787041,5 Stars Auto Sale,N/A,3013 S Westmoreland Rd,Dallas,TX,"Dallas, TX",N/A,75233,"The sale went well and the transaction didn't take 
that long.",https://static.cargurus.com/images/site/2020/09/23/00/01/5_stars_auto_sale-pic-9001611262962537029-200x200.jpeg,public/uploads/dealer/5-Stars-Auto-Sale_Dallas_TX.jpg,8 mi,4.7,20,https://www.cargurus.com/Cars/m-5-Stars-Auto-Sale-sp407755,1,1
D-24787042,AutoSavvy Duncanville,N/A,611 E Interstate 20,Duncanville,TX,"Duncanville, TX",N/A,75116,Very easy to work with and very happy with the service,https://static.cargurus.com/images/site/2022/04/21/09/58/autosavvy_duncanville-pic-14169527832022592076-1600x1200.jpeg,public/uploads/dealer/AutoSavvy-Duncanville_Duncanville_TX.jpg,8 mi,4.8,4,https://www.cargurus.com/Cars/m-AutoSavvy-Duncanville-sp446168,1,1
D-24787043,DFW Autosales,N/A,4605 Hickory Tree Rd,Balch Springs,TX,"Balch Springs, TX",N/A,75180,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/DFW-Autosales_Balch Springs_TX.jpg,9 mi,N/A,N/A,https://www.cargurus.com/Cars/m-DFW-Autosales-sp399381,1,1
D-24787044,D.L Campbell,N/A,4008 Main St,Dallas,TX,"Dallas, TX",N/A,75226,Mr. Campbell is awesome and I’m still in correspondence with this dealership.,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,public/uploads/dealer/D.L-Campbell_Dallas_TX.jpg,9 mi,5.0,1,https://www.cargurus.com/Cars/m-D-L-Campbell-sp450780,1,1
